Attribute,Speaker ID,Count,Score
Speaker presentation,377,11,4.5
Speaker presentation,379,26,4.1
Speaker presentation,380,8,4.9
Speaker presentation,384,7,4
Speaker presentation,389,26,4.6
Speaker presentation,391,40,4.4
Speaker presentation,452,5,4.4
Speaker presentation,455,44,4.3
Speaker presentation,475,12,3.8
Speaker presentation,477,11,2.9
Speaker presentation,483,12,4.3
Speaker presentation,485,7,4
Speaker presentation,493,42,4.3
Speaker presentation,497,17,4.4
Speaker presentation,507,19,4.2
Speaker presentation,514,16,3.6
Speaker presentation,515,11,4.6
Speaker presentation,547,74,3.7
Speaker presentation,553,16,4.1
